,listing_id,latitude,longitude
0,2595,40.75362,-73.98377
1,3831,40.68514,-73.95976
2,5099,40.74767,-73.975
3,5178,40.76489,-73.98493
4,5238,40.71344,-73.99037
5,5295,40.80316,-73.96545
6,5441,40.76076,-73.98867
7,5803,40.66829,-73.98779
8,6021,40.79826,-73.96113
9,6848,40.70837,-73.95352
10,7097,40.69169,-73.97185
11,7322,40.74192,-73.99501
12,7726,40.67592,-73.94694
13,8024,40.68069,-73.97706
14,8025,40.67989,-73.97798
15,8110,40.68001,-73.97865
16,8490,40.68371,-73.94028
17,8505,40.65599,-73.97519
18,9518,40.86482,-73.92106
19,9657,40.7292,-73.98542
20,9668,40.82245,-73.95104
21,9704,40.81305,-73.95466
22,9782,40.72219,-73.93762
23,9783,40.8213,-73.95318
24,10452,40.6831,-73.95473
25,10962,40.66869,-73.9878
26,11708,40.70186,-73.92745
27,12048,40.71401,-73.98917
28,12192,40.7229,-73.98199
29,12299,40.66278,-73.97966
30,12318,40.79009,-73.97927
31,12343,40.81175,-73.94478
32,12627,40.65944,-73.96238
33,12937,40.74771,-73.9474
34,12940,40.68111,-73.95591
35,13394,40.69142,-73.97376
36,13808,40.68043,-73.93934
37,14287,40.78635,-73.97008
38,14290,40.7042,-73.9356
39,14314,40.73506,-73.95392
40,14322,40.73961,-73.98074
41,14377,40.70881,-73.9593
42,14991,40.72004,-73.99104
43,15220,40.75531,-73.99293
44,15338,40.72401,-73.93788
45,15341,40.7221,-73.99775
46,15385,40.71185,-73.96204
47,15711,40.77065,-73.95269
48,16326,40.67811,-73.96428
49,16421,40.75979,-73.99119
50,16580,40.72649,-73.97904
51,16595,40.70933,-73.96792
52,16821,40.72298,-73.98474
53,16974,40.80164,-73.93922
54,17092,40.76342,-73.98865
55,17693,40.83139,-73.94095
56,17747,40.68346,-73.96374
57,18127,40.72828,-73.98801
58,18152,40.76865,-73.95058
59,18198,40.75038,-73.90334
60,18590,40.6932,-73.97267
61,18728,40.74138,-74.00197
62,18764,40.71154,-73.96112
63,19159,40.82915,-73.95136
64,19169,40.71851,-73.98892
65,19282,40.65401,-73.96323
66,19319,40.7114,-73.98794
67,20299,40.72334,-73.9844
68,20611,40.71156,-73.96218
69,20724,40.70032,-73.9383
70,20734,40.68233,-73.97261
71,20755,40.68634,-73.966
72,20853,40.68035,-73.97162
73,21293,40.70093,-73.92609
74,21456,40.79764,-73.96177
75,21794,40.74008,-74.00271
76,22918,40.82279,-73.95139
77,23135,40.67967,-74.00154
78,23686,40.73096,-74.00319
79,24143,40.71332,-73.94177
80,25235,40.68373,-73.92377
81,25696,40.8092,-73.94421
82,26362,40.75527,-73.99291
83,26520,40.68698,-73.96572
84,26969,40.71942,-73.95748
85,27006,40.77823,-73.97637
86,27385,40.72555,-73.97965
87,27531,40.66831,-73.98604
88,27644,40.82754,-73.94919
89,27759,40.77842,-73.97556
90,29013,40.68332,-73.9547
91,29455,40.81618,-73.94894
92,29628,40.68414,-73.96351
93,29683,40.72392,-73.99143
94,30031,40.73494,-73.9503
95,30927,40.71341,-73.98856
96,31130,40.76754,-73.98399
97,31555,40.73442,-74.00303
98,31902,40.63188,-73.93248
99,31994,40.6873,-73.9634
100,32023,40.68296,-73.93662
101,32037,40.6863,-73.96765
102,32965,40.68281,-73.93524
103,32969,40.71596,-73.93938
104,33009,40.71492,-73.95935
105,33014,40.72354,-73.98295
106,33223,40.71165,-73.96087
107,34760,40.69101,-73.97312
108,35526,40.73474,-74.00101
109,36133,40.71536,-73.96057
110,36703,40.73226,-74.00401
111,38638,40.77711,-73.9527
112,39267,40.77456,-73.95323
113,39282,40.71088,-73.95055
114,39593,40.74559,-73.92313
115,39704,40.68306,-73.94659
116,41348,40.66858,-73.99083
117,42580,40.68843,-73.96408
118,42729,40.6783,-74.00135
119,42882,40.64524,-74.08088
120,43957,40.70641,-73.91765
121,44096,40.83232,-73.93184
122,44212,40.72518,-73.98034
123,44221,40.70666,-74.01374
124,44229,40.69098,-73.97113
125,44288,40.73756,-74.00405
126,44506,40.81526,-73.94791
127,45556,40.68863,-73.97691
128,45910,40.70382,-73.89797
129,45936,40.80549,-73.95924
130,45940,40.71627,-73.9587
131,46544,40.67994,-73.97863
132,46723,40.67992,-73.9475
133,46911,40.67868,-73.97307
134,47199,40.76834,-73.95334
135,47926,40.76307,-73.99665
136,48719,40.71882,-73.98852
137,50447,40.6693,-73.98804
138,51485,40.72319,-73.99201
139,51572,40.74859,-73.99671
140,51850,40.67252,-73.76597
141,53137,40.76244,-73.99271
142,53477,40.71546,-73.87854
143,54158,40.7195,-73.95976
144,54508,40.6787,-73.97262
145,54544,40.81035,-73.94598
146,54626,40.83075,-73.93058
147,54860,40.79958,-73.94275
148,55467,40.71625,-73.93845
149,55498,40.6829,-73.93549
150,55737,40.72861,-74.0049
151,55959,40.70979,-73.95162
152,56467,40.72752,-73.98432
153,56525,40.729,-73.95829
154,56859,40.81219,-73.94499
155,57166,40.77185,-73.90502
156,57297,40.68926,-73.99386
157,57468,40.72821,-73.98701
158,57618,40.7672,-73.98508
159,57740,40.73012,-73.99053
160,57754,40.7403,-73.98498
161,57874,40.80931,-73.94343
162,58059,40.8251,-73.94287
163,58062,40.6585,-73.98397
164,58467,40.76193,-73.9501
165,59014,40.72052,-73.98589
166,59642,40.73401,-73.95967
167,59709,40.71756,-73.99503
168,60164,40.72003,-74.00262
169,60457,40.73194,-73.99474
170,60666,40.8118,-73.94434
171,60680,40.72654,-73.98049
172,60948,40.80942,-73.93936
173,61406,40.80335,-73.9575
174,61492,40.71445,-73.9908
175,61509,40.75749,-73.96897
176,62095,40.64446,-73.9503
177,62427,40.7268,-73.99079
178,62430,40.688,-73.9171
179,62452,40.63536,-74.08537
180,62461,40.63627,-74.08543
181,62787,40.63518,-74.08546
182,62891,40.72477,-73.98161
183,62903,40.74238,-73.99567
