listing_id,price,borough,neighborhood,price_per_month,price_range,latitude,longitude
2595,225.0,Manhattan, Midtown,6843.75,Expensive,40.75362,-73.98377
3831,89.0,Brooklyn, Clinton Hill,2707.0833333333335,Average,40.68514,-73.95976
5099,200.0,Manhattan, Murray Hill,6083.333333333333,Expensive,40.74767,-73.975
5178,79.0,Manhattan, Hell's Kitchen,2402.9166666666665,Average,40.76489,-73.98493
5238,150.0,Manhattan, Chinatown,4562.5,Average,40.71344,-73.99037
5295,135.0,Manhattan, Upper West Side,4106.25,Average,40.80316,-73.96545
5441,85.0,Manhattan, Hell's Kitchen,2585.4166666666665,Average,40.76076,-73.98867
5803,89.0,Brooklyn, South Slope,2707.0833333333335,Average,40.66829,-73.98779
6021,85.0,Manhattan, Upper West Side,2585.4166666666665,Average,40.79826,-73.96113
6848,140.0,Brooklyn, Williamsburg,4258.333333333333,Average,40.70837,-73.95352
7097,215.0,Brooklyn, Fort Greene,6539.583333333333,Expensive,40.69169,-73.97185
7322,140.0,Manhattan, Chelsea,4258.333333333333,Average,40.74192,-73.99501
7726,99.0,Brooklyn, Crown Heights,3011.25,Average,40.67592,-73.94694
8024,130.0,Brooklyn, Park Slope,3954.1666666666665,Average,40.68069,-73.97706
8025,80.0,Brooklyn, Park Slope,2433.3333333333335,Average,40.67989,-73.97798
8110,110.0,Brooklyn, Park Slope,3345.8333333333335,Average,40.68001,-73.97865
8490,120.0,Brooklyn, Bedford-Stuyvesant,3650.0,Average,40.68371,-73.94028
8505,60.0,Brooklyn, Windsor Terrace,1825.0,Budget,40.65599,-73.97519
9518,44.0,Manhattan, Inwood,1338.3333333333333,Budget,40.86482,-73.92106
9657,180.0,Manhattan, East Village,5475.0,Expensive,40.7292,-73.98542
9668,50.0,Manhattan, Harlem,1520.8333333333333,Budget,40.82245,-73.95104
9704,52.0,Manhattan, Harlem,1581.6666666666667,Budget,40.81305,-73.95466
9782,55.0,Brooklyn, Greenpoint,1672.9166666666667,Budget,40.72219,-73.93762
9783,50.0,Manhattan, Harlem,1520.8333333333333,Budget,40.8213,-73.95318
10452,70.0,Brooklyn, Bedford-Stuyvesant,2129.1666666666665,Average,40.6831,-73.95473
10962,89.0,Brooklyn, South Slope,2707.0833333333335,Average,40.66869,-73.9878
11708,85.0,Brooklyn, Bushwick,2585.4166666666665,Average,40.70186,-73.92745
12048,40.0,Manhattan, Lower East Side,1216.6666666666667,Budget,40.71401,-73.98917
12192,68.0,Manhattan, East Village,2068.3333333333335,Budget,40.7229,-73.98199
12299,120.0,Brooklyn, South Slope,3650.0,Average,40.66278,-73.97966
12318,135.0,Manhattan, Upper West Side,4106.25,Average,40.79009,-73.97927
12343,150.0,Manhattan, Harlem,4562.5,Average,40.81175,-73.94478
12627,150.0,Brooklyn, Prospect-Lefferts Gardens,4562.5,Average,40.65944,-73.96238
12937,130.0,Queens, Long Island City,3954.1666666666665,Average,40.74771,-73.9474
12940,110.0,Brooklyn, Bedford-Stuyvesant,3345.8333333333335,Average,40.68111,-73.95591
13394,80.0,Brooklyn, Fort Greene,2433.3333333333335,Average,40.69142,-73.97376
13808,80.0,Brooklyn, Bedford-Stuyvesant,2433.3333333333335,Average,40.68043,-73.93934
